cc_article_number,URL,article_title
CC 758,https://www.legis.la.gov/legis/Law.aspx?d=110953,Imprescriptibility of natural servitudes.
CC 759,https://www.legis.la.gov/legis/Law.aspx?d=110954,Partial use.
CC 760,https://www.legis.la.gov/legis/Law.aspx?d=110955,More extensive use than title.
CC 761,https://www.legis.la.gov/legis/Law.aspx?d=110956,Use of accessory right.
CC 762,https://www.legis.la.gov/legis/Law.aspx?d=110957,Use by co-owner.
CC 763,https://www.legis.la.gov/legis/Law.aspx?d=110958,Minority or other disability.
CC 764,https://www.legis.la.gov/legis/Law.aspx?d=110959,Burden of proof of use.
CC 765,https://www.legis.la.gov/legis/Law.aspx?d=110960,Confusion.
CC 766,https://www.legis.la.gov/legis/Law.aspx?d=110961,Resolutory condition.
CC 767,https://www.legis.la.gov/legis/Law.aspx?d=110962,Acceptance of succession; confusion
CC 768,https://www.legis.la.gov/legis/Law.aspx?d=110963,Confusion; separate and community property.
CC 769,https://www.legis.la.gov/legis/Law.aspx?d=110964,Irrevocability of extinction by confusion.
CC 770,https://www.legis.la.gov/legis/Law.aspx?d=110965,Abandonment of servient estate.
CC 771,https://www.legis.la.gov/legis/Law.aspx?d=110966,Renunciation of servitude.
CC 772,https://www.legis.la.gov/legis/Law.aspx?d=110967,Renunciation by owner.
CC 773,https://www.legis.la.gov/legis/Law.aspx?d=110968,Expiration of time or happening of condition.
CC 774,https://www.legis.la.gov/legis/Law.aspx?d=110969,Dissolution of the right of the grantor.
CC 775,https://www.legis.la.gov/legis/Law.aspx?d=110970,Building restrictions.
CC 776,https://www.legis.la.gov/legis/Law.aspx?d=110971,Establishment
CC 777,https://www.legis.la.gov/legis/Law.aspx?d=110972,Nature and regulation.
CC 778,https://www.legis.la.gov/legis/Law.aspx?d=110973,Affirmative duties
CC 779,https://www.legis.la.gov/legis/Law.aspx?d=110974,Injunctive relief.
CC 780,https://www.legis.la.gov/legis/Law.aspx?d=110975,Amendment and termination of building restrictions
CC 781,https://www.legis.la.gov/legis/Law.aspx?d=110976,Termination; liberative prescription.
CC 782,https://www.legis.la.gov/legis/Law.aspx?d=110977,Abandonment of plan or of restriction.
CC 783,https://www.legis.la.gov/legis/Law.aspx?d=110978,Matters of interpretation and application
CC 784,https://www.legis.la.gov/legis/Law.aspx?d=110979,Boundary; marker.
CC 785,https://www.legis.la.gov/legis/Law.aspx?d=110980,Fixing of the boundary.
CC 786,https://www.legis.la.gov/legis/Law.aspx?d=110981,Persons who may compel fixing of boundary.
CC 787,https://www.legis.la.gov/legis/Law.aspx?d=110982,Lessee may compel lessor.
CC 788,https://www.legis.la.gov/legis/Law.aspx?d=110983,Imprescriptibility of the right.
CC 789,https://www.legis.la.gov/legis/Law.aspx?d=110984,Fixing of boundary judicially or extrajudicially.
CC 790,https://www.legis.la.gov/legis/Law.aspx?d=110985,Costs.
CC 791,https://www.legis.la.gov/legis/Law.aspx?d=110986,Liability for unauthorized removal of markers.
CC 792,https://www.legis.la.gov/legis/Law.aspx?d=110987,Fixing of boundary according to ownership or possession
CC 793,https://www.legis.la.gov/legis/Law.aspx?d=110988,Determination of ownership according to titles.
CC 794,https://www.legis.la.gov/legis/Law.aspx?d=110989,Determination of ownership according to prescription.
CC 795,https://www.legis.la.gov/legis/Law.aspx?d=110990,Effect of boundary agreement.
CC 796,https://www.legis.la.gov/legis/Law.aspx?d=110991,Error in the location of markers; rectification.
CC 797,https://www.legis.la.gov/legis/Law.aspx?d=110992,Ownership in indivision; definition
CC 798,https://www.legis.la.gov/legis/Law.aspx?d=110993,Right to fruits and products
CC 799,https://www.legis.la.gov/legis/Law.aspx?d=110994,Liability of a co-owner
CC 800,https://www.legis.la.gov/legis/Law.aspx?d=110996,Preservation of the thing
CC 801,https://www.legis.la.gov/legis/Law.aspx?d=110997,Use and management by agreement
CC 802,https://www.legis.la.gov/legis/Law.aspx?d=110998,Right to use the thing
CC 803,https://www.legis.la.gov/legis/Law.aspx?d=110999,Use and management of the thing in the absence of agreement
CC 804,https://www.legis.la.gov/legis/Law.aspx?d=111000,Substantial alterations or improvements
CC 805,https://www.legis.la.gov/legis/Law.aspx?d=111001,Disposition of undivided share
CC 806,https://www.legis.la.gov/legis/Law.aspx?d=111002,Expenses of maintenance and management
CC 807,https://www.legis.la.gov/legis/Law.aspx?d=111003,Right to partition; exclusion by agreement
CC 808,https://www.legis.la.gov/legis/Law.aspx?d=111004,Partition excluded
CC 809,https://www.legis.la.gov/legis/Law.aspx?d=111005,Judicial and extrajudicial partition
CC 810,https://www.legis.la.gov/legis/Law.aspx?d=111006,Partition in kind
CC 811,https://www.legis.la.gov/legis/Law.aspx?d=111007,Partition by licitation or by private sale
CC 812,https://www.legis.la.gov/legis/Law.aspx?d=111008,Effect of partition on real rights
CC 813,https://www.legis.la.gov/legis/Law.aspx?d=111009,Partition in kind
CC 814,https://www.legis.la.gov/legis/Law.aspx?d=111010,Rescission of partition for lesion
CC 815,https://www.legis.la.gov/legis/Law.aspx?d=111011,Partition by licitation
CC 816,https://www.legis.la.gov/legis/Law.aspx?d=111012,Partition in kind; warranty
CC 817,https://www.legis.la.gov/legis/Law.aspx?d=111013,Imprescriptibility of action
CC 818,https://www.legis.la.gov/legis/Law.aspx?d=111014,Other rights held in indivision
CC 819,https://www.legis.la.gov/legis/Law.aspx?d=111015,"Arts. 819 to 822 Repealed by Acts 1977, No. 514, 1."
CC 823,https://www.legis.la.gov/legis/Law.aspx?d=111016,"Arts. 823 to 855 Repealed by Acts 1977, No. 170, 1"
CC 856,https://www.legis.la.gov/legis/Law.aspx?d=111017,"Arts. 856 to 869 Repealed by Acts 1977, No. 169, 1."
CC 870,https://www.legis.la.gov/legis/Law.aspx?d=111020,Modes of acquiring ownership
CC 871,https://www.legis.la.gov/legis/Law.aspx?d=111021,Meaning of succession
CC 872,https://www.legis.la.gov/legis/Law.aspx?d=111022,Meaning of estate
CC 873,https://www.legis.la.gov/legis/Law.aspx?d=111023,Kinds of succession
CC 874,https://www.legis.la.gov/legis/Law.aspx?d=111024,Testate succession
CC 875,https://www.legis.la.gov/legis/Law.aspx?d=111025,Intestate succession
CC 876,https://www.legis.la.gov/legis/Law.aspx?d=111026,Kinds of successors
CC 877,https://www.legis.la.gov/legis/Law.aspx?d=111027,
CC 878,https://www.legis.la.gov/legis/Law.aspx?d=111028,
CC 879,https://www.legis.la.gov/legis/Law.aspx?d=111029,
CC 880,https://www.legis.la.gov/legis/Law.aspx?d=111031,Intestate succession
CC 881,https://www.legis.la.gov/legis/Law.aspx?d=111032,Representation: effect
CC 882,https://www.legis.la.gov/legis/Law.aspx?d=111033,Representation in direct line of descendants
CC 883,https://www.legis.la.gov/legis/Law.aspx?d=111034,Representation of ascendants not permissible
CC 884,https://www.legis.la.gov/legis/Law.aspx?d=111035,Representation in collateral line
CC 885,https://www.legis.la.gov/legis/Law.aspx?d=111036,Basis of partition in cases of representation
CC 886,https://www.legis.la.gov/legis/Law.aspx?d=111037,Representation of deceased persons only
CC 887,https://www.legis.la.gov/legis/Law.aspx?d=111038,Representation of decedent whose succession was renounced
CC 888,https://www.legis.la.gov/legis/Law.aspx?d=111039,Succession rights of descendants
CC 889,https://www.legis.la.gov/legis/Law.aspx?d=111040,Devolution of community property
CC 890,https://www.legis.la.gov/legis/Law.aspx?d=111042,Usufruct of surviving spouse
CC 891,https://www.legis.la.gov/legis/Law.aspx?d=111043,Devolution of separate property; parents and brothers and sisters
CC 892,https://www.legis.la.gov/legis/Law.aspx?d=111044,Devolution of separate property in absence of parents or in absence of brothers and sisters
CC 893,https://www.legis.la.gov/legis/Law.aspx?d=111045,Brothers and sisters related by half-blood
CC 894,https://www.legis.la.gov/legis/Law.aspx?d=111046,Separate property; rights of surviving spouse
CC 895,https://www.legis.la.gov/legis/Law.aspx?d=111047,Separate property; rights of other ascendants
CC 896,https://www.legis.la.gov/legis/Law.aspx?d=111048,Separate property; rights of other collaterals
CC 897,https://www.legis.la.gov/legis/Law.aspx?d=111049,Repealed
CC 898,https://www.legis.la.gov/legis/Law.aspx?d=111050,Repealed
CC 899,https://www.legis.la.gov/legis/Law.aspx?d=111051,Nearest in degree among more remote relations
CC 900,https://www.legis.la.gov/legis/Law.aspx?d=111054,Degrees of relationship
CC 901,https://www.legis.la.gov/legis/Law.aspx?d=111055,Direct and collateral relationship
CC 902,https://www.legis.la.gov/legis/Law.aspx?d=111056,Rights of the state
CC 903,https://www.legis.la.gov/legis/Law.aspx?d=111057,"Arts. 903 to 933 Repealed by Acts 1981, No. 919, 1, eff. Jan. 1, 1982."
CC 934,https://www.legis.la.gov/legis/Law.aspx?d=111061,Commencement of succession
CC 935,https://www.legis.la.gov/legis/Law.aspx?d=111062,Acquisition of ownership; seizin
CC 936,https://www.legis.la.gov/legis/Law.aspx?d=111063,Continuation of the possession of decedent
CC 937,https://www.legis.la.gov/legis/Law.aspx?d=111064,Transmission of rights of successor
CC 938,https://www.legis.la.gov/legis/Law.aspx?d=111065,Exercise of succession rights
CC 939,https://www.legis.la.gov/legis/Law.aspx?d=111066,Existence of successor
CC 940,https://www.legis.la.gov/legis/Law.aspx?d=111068,Same; unborn child
CC 941,https://www.legis.la.gov/legis/Law.aspx?d=111069,Declaration of unworthiness
CC 942,https://www.legis.la.gov/legis/Law.aspx?d=111070,Persons who may bring action
CC 943,https://www.legis.la.gov/legis/Law.aspx?d=111071,Reconciliation or forgiveness
CC 944,https://www.legis.la.gov/legis/Law.aspx?d=111072,Prescription
CC 945,https://www.legis.la.gov/legis/Law.aspx?d=111073,Effects of declaration of unworthiness
CC 946,https://www.legis.la.gov/legis/Law.aspx?d=111074,Devolution of succession rights of successor declared unworthy
CC 947,https://www.legis.la.gov/legis/Law.aspx?d=111075,Right of successor to accept or renounce
CC 948,https://www.legis.la.gov/legis/Law.aspx?d=111076,Minor successor deemed to accept
CC 949,https://www.legis.la.gov/legis/Law.aspx?d=111077,Death of decedent as prerequisite to acceptance or renunciation
CC 950,https://www.legis.la.gov/legis/Law.aspx?d=111079,Knowledge required of successor as prerequisite to acceptance or renunciation
CC 951,https://www.legis.la.gov/legis/Law.aspx?d=111080,Nullity of premature acceptance or renunciation
CC 952,https://www.legis.la.gov/legis/Law.aspx?d=111081,Probate or annulment of testament after acceptance or renunciation of succession
CC 953,https://www.legis.la.gov/legis/Law.aspx?d=111082,Legacy subject to a suspensive condition
CC 954,https://www.legis.la.gov/legis/Law.aspx?d=111083,Retroactive effects of acceptance and renunciation
CC 955,https://www.legis.la.gov/legis/Law.aspx?d=111084,Reserved]
CC 956,https://www.legis.la.gov/legis/Law.aspx?d=111085,Claims of successor who is a creditor of the estate
CC 957,https://www.legis.la.gov/legis/Law.aspx?d=111086,Formal or informal acceptance
CC 958,https://www.legis.la.gov/legis/Law.aspx?d=111087,Informal acceptance; use or disposition of property
CC 959,https://www.legis.la.gov/legis/Law.aspx?d=111088,Informal acceptance; act of ownership
CC 960,https://www.legis.la.gov/legis/Law.aspx?d=111090,Donative renunciation deemed acceptance
CC 961,https://www.legis.la.gov/legis/Law.aspx?d=111091,Effect of acceptance
CC 962,https://www.legis.la.gov/legis/Law.aspx?d=111092,Presumption of acceptance
CC 963,https://www.legis.la.gov/legis/Law.aspx?d=111093,Requirement of formality
CC 964,https://www.legis.la.gov/legis/Law.aspx?d=111094,Accretion upon renunciation in intestate successions
CC 965,https://www.legis.la.gov/legis/Law.aspx?d=111095,Accretion upon renunciation in testate successions
CC 966,https://www.legis.la.gov/legis/Law.aspx?d=111096,Acceptance or renunciation of accretion
CC 967,https://www.legis.la.gov/legis/Law.aspx?d=111097,Acceptance of succession by creditor
CC 968,https://www.legis.la.gov/legis/Law.aspx?d=111098,Reserved]
CC 969,https://www.legis.la.gov/legis/Law.aspx?d=111099,Arts. 969-1074 [Blank]
CC 1075,https://www.legis.la.gov/legis/Law.aspx?d=108536,"Arts. 1075 to 1094 Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 1095,https://www.legis.la.gov/legis/Law.aspx?d=108537,"Vacant succession, definition."
CC 1096,https://www.legis.la.gov/legis/Law.aspx?d=108538,"Intestate succession, definition."
CC 1097,https://www.legis.la.gov/legis/Law.aspx?d=108539,Vacant succession; administration by administrators.
CC 1098,https://www.legis.la.gov/legis/Law.aspx?d=108540,"Arts. 1098, 1099 Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 1100,https://www.legis.la.gov/legis/Law.aspx?d=108542,Liability for unauthorized possession of vacant succession.
CC 1101,https://www.legis.la.gov/legis/Law.aspx?d=108543,"Arts. 1101, 1102 Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 1103,https://www.legis.la.gov/legis/Law.aspx?d=108544,"Repealed by Acts 1980, No. 150, 3, eff. Jan. 1, 1981."
CC 1104,https://www.legis.la.gov/legis/Law.aspx?d=108545,"Arts. 1104 to 1112 Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 1113,https://www.legis.la.gov/legis/Law.aspx?d=108547,"Arts. 1113 to 1132 Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 1133,https://www.legis.la.gov/legis/Law.aspx?d=108550,"Arts. 1133 to 1137 Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 1138,https://www.legis.la.gov/legis/Law.aspx?d=108551,"Arts. 1138 to 1145 Repealed by Acts 1980, No. 150, 3, eff. Jan. 1, 1981."
CC 1146,https://www.legis.la.gov/legis/Law.aspx?d=108553,"Arts. 1146, 1147 Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 1148,https://www.legis.la.gov/legis/Law.aspx?d=108554,Interest on succession funds; liability for private use.
CC 1149,https://www.legis.la.gov/legis/Law.aspx?d=108555,"Arts. 1149 to 1157 Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 1158,https://www.legis.la.gov/legis/Law.aspx?d=108557,"Arts. 1158 to 1161 Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 1162,https://www.legis.la.gov/legis/Law.aspx?d=108559,"Arts. 1162 to 1170 Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 1171,https://www.legis.la.gov/legis/Law.aspx?d=108561,Persons authorized to make sale.
CC 1172,https://www.legis.la.gov/legis/Law.aspx?d=108562,"Arts. 1172 to 1187 Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 1188,https://www.legis.la.gov/legis/Law.aspx?d=108563,Unpaid new creditors' action against paid creditors; prescription.
CC 1189,https://www.legis.la.gov/legis/Law.aspx?d=108564,"Arts. 1189, 1190 Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 1191,https://www.legis.la.gov/legis/Law.aspx?d=108565,"Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 1192,https://www.legis.la.gov/legis/Law.aspx?d=108566,Termination of curator's duties on appearance of heirs.
CC 1193,https://www.legis.la.gov/legis/Law.aspx?d=108567,"Arts. 1193 to 1209 Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 1210,https://www.legis.la.gov/legis/Law.aspx?d=108570,"Arts. 1210 to 1219 Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 1220,https://www.legis.la.gov/legis/Law.aspx?d=108572,"Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 1221,https://www.legis.la.gov/legis/Law.aspx?d=108573,"Arts. 1221 to 1223 Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 1224,https://www.legis.la.gov/legis/Law.aspx?d=108574,"Arts. 1224 to 1226 Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 1227,https://www.legis.la.gov/legis/Law.aspx?d=108575,"Collation, definition."
CC 1228,https://www.legis.la.gov/legis/Law.aspx?d=108576,Collation by descendants
CC 1229,https://www.legis.la.gov/legis/Law.aspx?d=108577,Reasons for collation.
CC 1230,https://www.legis.la.gov/legis/Law.aspx?d=108579,Presumption in favor of collation.
CC 1231,https://www.legis.la.gov/legis/Law.aspx?d=108580,Express exclusion of collation; extra portion.
CC 1232,https://www.legis.la.gov/legis/Law.aspx?d=108581,Method of declaring dispensation from collation
CC 1233,https://www.legis.la.gov/legis/Law.aspx?d=108582,Sufficiency of declaration.
CC 1234,https://www.legis.la.gov/legis/Law.aspx?d=108583,Reduction of donations exceeding disposable portion; calculation of legitime.
CC 1235,https://www.legis.la.gov/legis/Law.aspx?d=108584,Persons entitled to demand collation
CC 1236,https://www.legis.la.gov/legis/Law.aspx?d=108585,"Repealed by Acts 1990, No. 147, 3, eff. July 1, 1990."
CC 1237,https://www.legis.la.gov/legis/Law.aspx?d=108586,Renouncing heir's right to donations not exceeding disposable portion.
CC 1238,https://www.legis.la.gov/legis/Law.aspx?d=108587,Grandchildren; collation of donations made by grandparent after death of parent
CC 1239,https://www.legis.la.gov/legis/Law.aspx?d=108588,Grandchildren; right to donations made by grandparent during life of parent
CC 1240,https://www.legis.la.gov/legis/Law.aspx?d=108590,Grandchildren; collation of donations made by grandparent to parent.
CC 1241,https://www.legis.la.gov/legis/Law.aspx?d=108591,Collation by great grandchildren and more remote descendants.
CC 1242,https://www.legis.la.gov/legis/Law.aspx?d=108592,Collation; succession of donor.
CC 1243,https://www.legis.la.gov/legis/Law.aspx?d=108593,Expenditures subject to collation
CC 1244,https://www.legis.la.gov/legis/Law.aspx?d=108594,Expenditures not subject to collation.
CC 1245,https://www.legis.la.gov/legis/Law.aspx?d=108595,Manual gifts.
CC 1246,https://www.legis.la.gov/legis/Law.aspx?d=108596,Profits from contracts with ascendant.
CC 1247,https://www.legis.la.gov/legis/Law.aspx?d=108597,Share of partnership with ascendant.
CC 1248,https://www.legis.la.gov/legis/Law.aspx?d=108598,Advantages other than donation.
CC 1249,https://www.legis.la.gov/legis/Law.aspx?d=108599,Wages for services to ascendant.
CC 1250,https://www.legis.la.gov/legis/Law.aspx?d=108600,Immovables destroyed while in possession of donee.
CC 1251,https://www.legis.la.gov/legis/Law.aspx?d=108601,Methods of making collations.
CC 1252,https://www.legis.la.gov/legis/Law.aspx?d=108602,"Collation in kind, definition."
CC 1253,https://www.legis.la.gov/legis/Law.aspx?d=108603,"Collation by taking less, definition."
CC 1254,https://www.legis.la.gov/legis/Law.aspx?d=108604,Movables or immovables.
CC 1255,https://www.legis.la.gov/legis/Law.aspx?d=108605,Collation of immovables.
CC 1256,https://www.legis.la.gov/legis/Law.aspx?d=108606,Immovables collated in kind; reimbursement for improvements.
CC 1257,https://www.legis.la.gov/legis/Law.aspx?d=108607,Immovables collated in kind; allowance for expenses of preservation.
CC 1258,https://www.legis.la.gov/legis/Law.aspx?d=108608,Immovables collated in kind; removal by donee of works erected for his pleasure.
CC 1259,https://www.legis.la.gov/legis/Law.aspx?d=108609,Kinds of expenses made on immovable property.
CC 1260,https://www.legis.la.gov/legis/Law.aspx?d=108610,"Deterioration and damage to immovable, liability of donee."
CC 1261,https://www.legis.la.gov/legis/Law.aspx?d=108611,Destruction of immovable after election to collate in kind.
CC 1262,https://www.legis.la.gov/legis/Law.aspx?d=108612,Partial destruction of immovable after election to collate in kind.
CC 1263,https://www.legis.la.gov/legis/Law.aspx?d=108613,Destruction of immovable after election to collate by taking less.
CC 1264,https://www.legis.la.gov/legis/Law.aspx?d=108614,Creditors' rights on immovable collated in kind.
CC 1265,https://www.legis.la.gov/legis/Law.aspx?d=108615,Preservation of creditor's mortgage rights after partition.
CC 1266,https://www.legis.la.gov/legis/Law.aspx?d=108616,Immovables in excess of disposable portion; collation in kind.
CC 1267,https://www.legis.la.gov/legis/Law.aspx?d=108617,Immovables in excess of disposable portion; collation by taking less.
CC 1268,https://www.legis.la.gov/legis/Law.aspx?d=108618,Collation in kind; retention of immovable until reimbursement of expenses.
CC 1269,https://www.legis.la.gov/legis/Law.aspx?d=108619,Collation by taking less; valuation of immovable.
CC 1270,https://www.legis.la.gov/legis/Law.aspx?d=108620,Voluntary alienation or negligent loss of immovables subject to collation.
CC 1271,https://www.legis.la.gov/legis/Law.aspx?d=108621,Forced alienation of immovables subject to collation.
CC 1272,https://www.legis.la.gov/legis/Law.aspx?d=108622,Sale by donee and subsequent destruction of immovable subject to collation.
CC 1273,https://www.legis.la.gov/legis/Law.aspx?d=108623,Collation by taking less; coheirs' election of collation by sale or in kind.
CC 1274,https://www.legis.la.gov/legis/Law.aspx?d=108624,Failure of coheirs to make timely election.
CC 1275,https://www.legis.la.gov/legis/Law.aspx?d=108625,Payment of collation by sale of succession effects.
CC 1276,https://www.legis.la.gov/legis/Law.aspx?d=108626,Payment of collation with property of succession.
CC 1277,https://www.legis.la.gov/legis/Law.aspx?d=108627,Payment of collation by donee where succession effects insufficient.
CC 1278,https://www.legis.la.gov/legis/Law.aspx?d=108628,Time and security for payment.
CC 1279,https://www.legis.la.gov/legis/Law.aspx?d=108629,Rights of coheirs against defaulting heir; foreclosure of special mortgage.
CC 1280,https://www.legis.la.gov/legis/Law.aspx?d=108630,Privilege of seizing coheirs on proceeds of mortgage sale.
CC 1281,https://www.legis.la.gov/legis/Law.aspx?d=108631,Alienation of immovable by donee by onerous title; creation of real right in immovable by donee or operation of law
CC 1282,https://www.legis.la.gov/legis/Law.aspx?d=108632,Purchaser's retention of immovable upon payment of collations.
CC 1283,https://www.legis.la.gov/legis/Law.aspx?d=108633,Collation of movables.
CC 1284,https://www.legis.la.gov/legis/Law.aspx?d=108634,Donation of movables as absolute transfer of rights.
CC 1285,https://www.legis.la.gov/legis/Law.aspx?d=108635,Collation of money.
CC 1286,https://www.legis.la.gov/legis/Law.aspx?d=108636,Collation of movables or money by taking less; payment in money.
CC 1287,https://www.legis.la.gov/legis/Law.aspx?d=108637,Collation of movables or money by taking less; payment in succession effects.
CC 1288,https://www.legis.la.gov/legis/Law.aspx?d=108638,Payment of collation by donee where succession effects insufficient.
CC 1289,https://www.legis.la.gov/legis/Law.aspx?d=108639,"Repealed by Acts 1991, No. 689, 1."
CC 1290,https://www.legis.la.gov/legis/Law.aspx?d=108640,Extent and application of rules; venue of action.
CC 1291,https://www.legis.la.gov/legis/Law.aspx?d=108641,Venue of action where property partly in different parishes.
CC 1292,https://www.legis.la.gov/legis/Law.aspx?d=108642,Undivided ownership rights until partition.
CC 1293,https://www.legis.la.gov/legis/Law.aspx?d=108643,"Partition of a succession, definition."
CC 1294,https://www.legis.la.gov/legis/Law.aspx?d=108644,"Repealed by Acts 1991, No. 689, 1."
CC 1295,https://www.legis.la.gov/legis/Law.aspx?d=108645,"Definitive and provisional partitions, definitions."
CC 1296,https://www.legis.la.gov/legis/Law.aspx?d=108646,"Definitive and provisional partitions, distinguished."
CC 1297,https://www.legis.la.gov/legis/Law.aspx?d=108647,Stipulations against partition.
CC 1298,https://www.legis.la.gov/legis/Law.aspx?d=108648,"Repealed by Acts 1991, No. 689, 1."
CC 1299,https://www.legis.la.gov/legis/Law.aspx?d=108649,Perpetual prohibition against partition by donor.
CC 1300,https://www.legis.la.gov/legis/Law.aspx?d=108651,Limited or conditional prohibition against partition by donor.
CC 1301,https://www.legis.la.gov/legis/Law.aspx?d=108652,Testator's right to prohibit partition during minority of heirs.
CC 1302,https://www.legis.la.gov/legis/Law.aspx?d=108653,Testamentary partition
CC 1303,https://www.legis.la.gov/legis/Law.aspx?d=108654,"Repealed by Acts 1991, No. 689, 1."
CC 1304,https://www.legis.la.gov/legis/Law.aspx?d=108655,"Repealed by Acts 1991, No. 689, 1."
CC 1305,https://www.legis.la.gov/legis/Law.aspx?d=108656,Prescription where possession is separate.
CC 1306,https://www.legis.la.gov/legis/Law.aspx?d=108657,Prescription where one heir possesses separately and others possess in common.
CC 1307,https://www.legis.la.gov/legis/Law.aspx?d=108658,Partition between heirs and legatees.
CC 1308,https://www.legis.la.gov/legis/Law.aspx?d=108659,Partition between owners in common.
CC 1309,https://www.legis.la.gov/legis/Law.aspx?d=108660,Partition between possessors in common.
CC 1310,https://www.legis.la.gov/legis/Law.aspx?d=108662,Nature of possession required.
CC 1311,https://www.legis.la.gov/legis/Law.aspx?d=108663,Action maintainable by one or more co-owners.
CC 1312,https://www.legis.la.gov/legis/Law.aspx?d=108664,Partition suits by tutors and curators.
CC 1313,https://www.legis.la.gov/legis/Law.aspx?d=108665,Partition suits by emancipated minors.
CC 1314,https://www.legis.la.gov/legis/Law.aspx?d=108666,"Defense of suits by tutors, curators and emancipated minors."
CC 1315,https://www.legis.la.gov/legis/Law.aspx?d=108667,Partition suits by curators of absent heirs.
CC 1316,https://www.legis.la.gov/legis/Law.aspx?d=108668,"Arts. 1316, 1317 Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 1318,https://www.legis.la.gov/legis/Law.aspx?d=108669,Partition by or against heir or successor of co-owner.
CC 1319,https://www.legis.la.gov/legis/Law.aspx?d=108670,Retrocession repealed.
CC 1320,https://www.legis.la.gov/legis/Law.aspx?d=108672,Ownership as basis for action of partition.
CC 1321,https://www.legis.la.gov/legis/Law.aspx?d=108673,"Separate possession of one co-owner, partition before prescription."
CC 1322,https://www.legis.la.gov/legis/Law.aspx?d=108674,"Repealed by Acts 1991, No. 689, 1."
CC 1323,https://www.legis.la.gov/legis/Law.aspx?d=108675,"Repealed by Acts 1991, No. 689, 1."
CC 1324,https://www.legis.la.gov/legis/Law.aspx?d=108676,"Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 1325,https://www.legis.la.gov/legis/Law.aspx?d=108677,Inventory within one year of partition suit.
CC 1326,https://www.legis.la.gov/legis/Law.aspx?d=108678,New appraisement.
CC 1327,https://www.legis.la.gov/legis/Law.aspx?d=108679,"Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 1328,https://www.legis.la.gov/legis/Law.aspx?d=108680,Summary proceeding for action of partition.
CC 1329,https://www.legis.la.gov/legis/Law.aspx?d=108681,Parties plaintiff and defendant.
CC 1330,https://www.legis.la.gov/legis/Law.aspx?d=108683,Plaintiff's admission of defendant's heirship.
CC 1331,https://www.legis.la.gov/legis/Law.aspx?d=108684,Collation in action of partition; time for deliberating.
CC 1332,https://www.legis.la.gov/legis/Law.aspx?d=108685,Election to collate in kind.
CC 1333,https://www.legis.la.gov/legis/Law.aspx?d=108686,Election to collate by taking less; failure to elect.
CC 1334,https://www.legis.la.gov/legis/Law.aspx?d=108687,Appraisement of property to be collated.
CC 1335,https://www.legis.la.gov/legis/Law.aspx?d=108688,Matters incidental to partition; procedure.
CC 1336,https://www.legis.la.gov/legis/Law.aspx?d=108689,Judicial regulation of mode of partition.
CC 1337,https://www.legis.la.gov/legis/Law.aspx?d=108690,Partition in kind; sale of movables to pay debts.
CC 1338,https://www.legis.la.gov/legis/Law.aspx?d=108691,"Repealed by Acts 1991, No. 689, 1."
CC 1339,https://www.legis.la.gov/legis/Law.aspx?d=108692,"Repealed by Acts 1991, No. 689, 1."
CC 1340,https://www.legis.la.gov/legis/Law.aspx?d=108694,"Repealed by Acts 1991, No. 689, 1."
CC 1341,https://www.legis.la.gov/legis/Law.aspx?d=108695,Terms of sale of succession effects where all heirs are absent or minors.
CC 1342,https://www.legis.la.gov/legis/Law.aspx?d=108696,Terms of sale of succession effects where heirs present demand sale for cash.
CC 1343,https://www.legis.la.gov/legis/Law.aspx?d=108697,Partition sale; coheir's right to purchase hereditary portion.
CC 1344,https://www.legis.la.gov/legis/Law.aspx?d=108698,Partition sale; purchase of minor's hereditary portion by tutor or curator.
CC 1345,https://www.legis.la.gov/legis/Law.aspx?d=108699,Reference to recorder or notary for continuation of proceedings.
CC 1346,https://www.legis.la.gov/legis/Law.aspx?d=108700,Amicable continuation of proceedings by heirs.
