article_number,article_title,article_content,BOOK,TITLE,CHAPTER,SECTION,SUBSECTION
769,Irrevocability of extinction by confusion.,"A servitude that has been extinguished by confusion may be reestablished only in the manner by which a servitude may be created.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,,,5 - EXTINCTION OF PREDIAL SERVITUDES,
770,Abandonment of servient estate.,"A predial servitude is extinguished by the abandonment of the servient estate, or of the part on which the servitude is exercised.  It must be evidenced by a written act.  The owner of the dominant estate is bound to accept it and confusion takes place.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,,,5 - EXTINCTION OF PREDIAL SERVITUDES,
771,Renunciation of servitude.,"A predial servitude is extinguished by an express and written renunciation by the owner of the dominant estate.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,,,5 - EXTINCTION OF PREDIAL SERVITUDES,
772,Renunciation by owner.,"A renunciation of a servitude by a co-owner of the dominant estate does not discharge the servient estate, but deprives him of the right to use the servitude.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,,,5 - EXTINCTION OF PREDIAL SERVITUDES,
773,Expiration of time or happening of condition.,"A predial servitude established for a term or under a resolutory condition is extinguished upon the expiration of the term or the happening of the condition.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,,,5 - EXTINCTION OF PREDIAL SERVITUDES,
774,Dissolution of the right of the grantor.,"A predial servitude is extinguished by the dissolution of the right of the person who established it.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,,,5 - EXTINCTION OF PREDIAL SERVITUDES,
775,Building restrictions.,"Building restrictions are charges imposed by the owner of an immovable in pursuance of a general plan governing building standards, specified uses, and improvements.  The plan must be feasible and capable of being preserved.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,V - BUILDING RESTRICTIONS,,,
776,Establishment,"Building restrictions may be established only by juridical act executed by the owner of an immovable or by all the owners of the affected immovables.  Once established, building restrictions may be amended or terminated as provided in this Title.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,V - BUILDING RESTRICTIONS,,,
777,Nature and regulation.,"Building restrictions are incorporeal immovables and real rights likened to predial servitudes.  They are regulated by application of the rules governing predial servitudes to the extent that their application is compatible with the nature of building restrictions.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,V - BUILDING RESTRICTIONS,,,
778,Affirmative duties,"Building restrictions may impose on owners of immovables affirmative duties that are reasonable and necessary for the maintenance of the general plan.  Building restrictions may not impose upon the owner of an immovable or his successors the obligation to pay a fee or other charge on the occasion of an alienation, lease or encumbrance of the immovable.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,V - BUILDING RESTRICTIONS,,,
779,Injunctive relief.,"Building restrictions may be enforced by mandatory and prohibitory injunctions without regard to the limitations of Article 3601 of the Code of Civil Procedure.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,V - BUILDING RESTRICTIONS,,,
780,Amendment and termination of building restrictions,"Building restrictions may be amended, whether such amendment lessens or increases a restriction, or may terminate or be terminated, as provided in the act that establishes them.  In the absence of such provision, building restrictions may be amended or terminated for the whole or a part of the restricted area by agreement of owners representing more than one-half of the land area affected by the restrictions, excluding streets and street rights-of-way, if the restrictions have been in effect for at least fifteen years, or by agreement of both owners representing two-thirds of the land area affected and two-thirds of the owners of the land affected by the restrictions, excluding streets and street rights-of-way, if the restrictions have been in effect for more than ten years.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,V - BUILDING RESTRICTIONS,,,
781,Termination; liberative prescription.,"No action for injunction or for damages on account of the violation of a building restriction may be brought after two years from the commencement of a noticeable violation.  After the lapse of this period, the immovable on which the violation occurred is freed of the restriction that has been violated.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,V - BUILDING RESTRICTIONS,,,
782,Abandonment of plan or of restriction.,"Building restrictions terminate by abandonment of the whole plan or by a general abandonment of a particular restriction.  When the entire plan is abandoned the affected area is freed of all restrictions; when a particular restriction is abandoned, the affected area is freed of that restriction only.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,V - BUILDING RESTRICTIONS,,,
783,Matters of interpretation and application,"Doubt as to the existence, validity, or extent of building restrictions is resolved in favor of the unrestricted use of the immovable.  The provisions of the Louisiana Condominium Act, the Louisiana Timesharing Act, and the Louisiana Homeowners Association Act shall supersede any and all provisions of this Title in the event of a conflict.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,V - BUILDING RESTRICTIONS,,,
784,Boundary; marker.,"A boundary is the line of separation between contiguous lands.  A boundary marker is a natural or artificial object that marks on the ground the line of separation of contiguous lands.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VI - BOUNDARIES,I - GENERAL PROVISIONS,,
785,Fixing of the boundary.,"The fixing of the boundary may involve determination of the line of separation between contiguous lands, if it is uncertain or disputed; it may also involve the placement of markers on the ground, if markers were never placed, were wrongly placed, or are no longer to be seen.
The boundary is fixed in accordance with the following rules.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VI - BOUNDARIES,I - GENERAL PROVISIONS,,
786,Persons who may compel fixing of boundary.,"The boundary may be fixed upon the demand of an owner or of one who possesses as owner.  It may also be fixed upon the demand of a usufructuary but it is not binding upon the naked owner unless he has been made a party to the proceeding.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VI - BOUNDARIES,I - GENERAL PROVISIONS,,
787,Lessee may compel lessor.,"When necessary to protect his interest, a lessee may compel the lessor to fix the boundary of the land subject to the lease.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VI - BOUNDARIES,I - GENERAL PROVISIONS,,
788,Imprescriptibility of the right.,"The right to compel the fixing of the boundary between contiguous lands is imprescriptible.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VI - BOUNDARIES,I - GENERAL PROVISIONS,,
789,Fixing of boundary judicially or extrajudicially.,"The boundary may be fixed judicially or extrajudicially.  It is fixed extrajudicially when the parties, by written agreement, determine the line of separation between their lands with or without reference to markers on the ground.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VI - BOUNDARIES,I - GENERAL PROVISIONS,,
790,Costs.,"When the boundary is fixed extrajudicially costs are divided equally between the adjoining owners in the absence of contrary agreement.  When the boundary is fixed judicially court costs are taxed in accordance with the rules of the Code of Civil Procedure.  Expenses of litigation not taxed as court costs are borne by the person who has incurred them.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VI - BOUNDARIES,I - GENERAL PROVISIONS,,
791,Liability for unauthorized removal of markers.,"When the boundary has been marked judicially or extrajudicially, one who removes boundary markers without court authority is liable for damages.  He may also be compelled to restore the markers to their previous location.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VI - BOUNDARIES,I - GENERAL PROVISIONS,,
792,Fixing of boundary according to ownership or possession,"The court shall fix the boundary according to the ownership of the parties; if neither party proves ownership, the boundary shall be fixed according to limits established by possession.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,"S, PRESCRIPTION, OR POSSESSION","2.  EFFECT OF TITLES, PRESCRIPTION, OR POSSESSION",,
793,Determination of ownership according to titles.,"When both parties rely on titles only, the boundary shall be fixed according to titles.  When the parties trace their titles to a common author preference shall be given to the more ancient title.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,"S, PRESCRIPTION, OR POSSESSION","2.  EFFECT OF TITLES, PRESCRIPTION, OR POSSESSION",,
794,Determination of ownership according to prescription.,"When a party proves acquisitive prescription, the boundary shall be fixed according to limits established by prescription rather than titles.  If a party and his ancestors in title possessed for thirty years without interruption, within visible bounds, more land than their title called for, the boundary shall be fixed along these bounds.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,"S, PRESCRIPTION, OR POSSESSION","2.  EFFECT OF TITLES, PRESCRIPTION, OR POSSESSION",,
795,Effect of boundary agreement.,"When the boundary is fixed extrajudicially, the agreement of the parties has the effect of a compromise.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,"S, PRESCRIPTION, OR POSSESSION","2.  EFFECT OF TITLES, PRESCRIPTION, OR POSSESSION",,
796,Error in the location of markers; rectification.,"When visible markers have been erroneously placed by one of the contiguous owners alone, or not in accordance with a written agreement fixing the boundary, the error may be rectified by the court unless a contiguous owner has acquired ownership up to the visible bounds by thirty years possession.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,"S, PRESCRIPTION, OR POSSESSION","2.  EFFECT OF TITLES, PRESCRIPTION, OR POSSESSION",,
797,Ownership in indivision; definition ,"Ownership of the same thing by two or more persons is ownership in indivision.  In the absence of other provisions of law or juridical act, the shares of all co-owners are presumed to be equal.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VII.  OWNERSHIP IN INDIVISION,,,
798,Right to fruits and products ,"Co-owners share the fruits and products of the thing held in indivision in proportion to their ownership.
When fruits or products are produced by a co-owner, other co-owners are entitled to their shares of the fruits or products after deduction of the costs of production.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VII.  OWNERSHIP IN INDIVISION,,,
799,Liability of a co-owner ,"A co-owner is liable to his co-owner for any damage to the thing held in indivision caused by his fault.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VII.  OWNERSHIP IN INDIVISION,,,
800,Preservation of the thing ,"A co-owner may without the concurrence of any other co-owner take necessary steps for the preservation of the thing that is held in indivision. 
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VII.  OWNERSHIP IN INDIVISION,,,
801,Use and management by agreement ,"The use and management of the thing held in indivision is determined by agreement of all the co-owners.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VII.  OWNERSHIP IN INDIVISION,,,
802,Right to use the thing ,"Except as otherwise provided in Article 801, a co-owner is entitled to use the thing held in indivision according to its destination, but he cannot prevent another co-owner from making such use of it.  As against third persons, a co-owner has the right to use and enjoy the thing as if he were the sole owner.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VII.  OWNERSHIP IN INDIVISION,,,
803,Use and management of the thing in the absence of agreement ,"When the mode of use and management of the thing held in indivision is not determined by an agreement of all the co-owners and partition is not available, a court, upon petition by a co-owner, may determine the use and management.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VII.  OWNERSHIP IN INDIVISION,,,
804,Substantial alterations or improvements ,"Substantial alterations or substantial improvements to the thing held in indivision may be undertaken only with the consent of all the co-owners. 
When a co-owner makes substantial alterations or substantial improvements consistent with the use of the property, though without the express or implied consent of his co-owners, the rights of the parties shall be determined by Article 496.  When a co-owner makes substantial alterations or substantial improvements inconsistent with the use of the property or in spite of the objections of his co-owners, the rights of the parties shall be determined by Article 497.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VII.  OWNERSHIP IN INDIVISION,,,
805,Disposition of undivided share ,"A co-owner may freely lease, alienate, or encumber his share of the thing held in indivision.  The consent of all the co-owners is required for the lease, alienation, or encumbrance of the entire thing held in indivision.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VII.  OWNERSHIP IN INDIVISION,,,
806,Expenses of maintenance and management ,"A co-owner who on account of the thing held in indivision has incurred necessary expenses, expenses for ordinary maintenance and repairs, or necessary management expenses paid to a third person, is entitled to reimbursement from the other co-owners in proportion to their shares.
If the co-owner who incurred the expenses had the enjoyment of the thing held in indivision, his reimbursement shall be reduced in proportion to the value of the enjoyment.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VII.  OWNERSHIP IN INDIVISION,,,
807,Right to partition; exclusion by agreement ,"No one may be compelled to hold a thing in indivision with another unless the contrary has been provided by law or juridical act.
Any co-owner has a right to demand partition of a thing held in indivision.  Partition may be excluded by agreement for up to fifteen years, or for such other period as provided in R.S. 9:1702 or other specific law.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VII.  OWNERSHIP IN INDIVISION,,,
808,Partition excluded ,"Partition of a thing held in indivision is excluded when its use is indispensable for the enjoyment of another thing owned by one or more of the co-owners.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VII.  OWNERSHIP IN INDIVISION,,,
809,Judicial and extrajudicial partition ,"The mode of partition may be determined by agreement of all the co-owners.  In the absence of such an agreement, a co-owner may demand judicial partition.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VII.  OWNERSHIP IN INDIVISION,,,
810,Partition in kind ,"The court shall decree partition in kind when the thing held in indivision is susceptible to division into as many lots of nearly equal value as there are shares and the aggregate value of all lots is not significantly lower than the value of the property in the state of indivision.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VII.  OWNERSHIP IN INDIVISION,,,
811,Partition by licitation or by private sale,"A.  When the thing held in indivision is not susceptible to partition in kind, the court
shall decree a partition by licitation or, as provided in Paragraph B of this Article, by private
sale and the proceeds shall be distributed to the co-owners in proportion to their shares.
            B.  In the event that one or more of the co-owners are absentees or have not consented
to a partition by private sale, the court shall order a partition by private sale and shall give
first priority to the private sale between the existing co-owners, over the sale by partition by
licitation or private sale to third parties.  The court shall order the partition by private sale
between the existing co-owners as identified in the conveyance records as of the date of filing
for the petition for partition by private sale.  The petition for partition by private sale shall
be granted first priority, and the sale shall be executed under Title IX of Book VII of the
Code of Civil Procedure.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VII.  OWNERSHIP IN INDIVISION,,,
812,Effect of partition on real rights ,"When a thing held in indivision is partitioned in kind or by licitation, a real right burdening the thing is not affected.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VII.  OWNERSHIP IN INDIVISION,,,
813,Partition in kind ,"When a thing is partitioned in kind, a real right that burdens the share of a co-owner attaches to the part of the thing allotted to him.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VII.  OWNERSHIP IN INDIVISION,,,
814,Rescission of partition for lesion ,"An extrajudicial partition may be rescinded on account of lesion if the value of the part received by a co-owner is less by more than one-fourth of the fair market value of the portion he should have received.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VII.  OWNERSHIP IN INDIVISION,,,
815,Partition by licitation ,"When a thing is partitioned by licitation, a mortgage, lien, or privilege that burdens the share of a co-owner attaches to his share of the proceeds of the sale.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VII.  OWNERSHIP IN INDIVISION,,,
816,Partition in kind; warranty ,"When a thing is partitioned in kind, each co-owner incurs the warranty of a vendor toward his co-owners to the extent of his share.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VII.  OWNERSHIP IN INDIVISION,,,
817,Imprescriptibility of action ,"The action for partition is imprescriptible.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VII.  OWNERSHIP IN INDIVISION,,,
818,Other rights held in indivision ,"The provisions governing co-ownership apply to other rights held in indivision to the extent compatible with the nature of those rights.
",II THINGS AND THE DIFFERENT MODIFICATIONS OF OWNERSHIP,VII.  OWNERSHIP IN INDIVISION,,,
870,Modes of acquiring ownership,"A.  The ownership of things or property is acquired by succession either testate or intestate, by the effect of obligations, and by the operation of law.
B.  Testate and intestate succession rights, including the right to claim as a forced heir, are governed by the law in effect on the date of the decedent's death.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,GENERAL DISPOSITIONS,,,
871,Meaning of succession,"Succession is the transmission of the estate of the deceased to his
successors.  The successors thus have the right to take possession of the estate
of the deceased after complying with applicable provisions of law.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,1 - OF THE DIFFERENT SORTS OF SUCCESSIONS AND SUCCESSORS,,
872,Meaning of estate,"The estate of a deceased means the property, rights, and obligations that
a person leaves after his death, whether the property exceeds the charges or the
charges exceed the property, or whether he has only left charges without any
property.  The estate includes not only the rights and obligations of the
deceased as they exist at the time of death, but all that has accrued thereto
since death, and the new charges to which it becomes subject.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,1 - OF THE DIFFERENT SORTS OF SUCCESSIONS AND SUCCESSORS,,
873,Kinds of succession,"There are two kinds of succession: testate and intestate.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,1 - OF THE DIFFERENT SORTS OF SUCCESSIONS AND SUCCESSORS,,
874,Testate succession,"Testate succession results from the will of the deceased, contained in
a testament executed in a form prescribed by law.  This kind of succession is
covered under the Title: Of donations inter vivos and mortis causa.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,1 - OF THE DIFFERENT SORTS OF SUCCESSIONS AND SUCCESSORS,,
875,Intestate succession,"Intestate succession results from provisions of law in favor of certain
persons, in default of testate successors.  Intestate succession is the subject of
the present title.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,1 - OF THE DIFFERENT SORTS OF SUCCESSIONS AND SUCCESSORS,,
876,Kinds of successors,"There are two kinds of successors corresponding to the two kinds of
succession described in the preceding articles: 
           Testate successors, also called legatees.
           Intestate successors, also called heirs.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,1 - OF THE DIFFERENT SORTS OF SUCCESSIONS AND SUCCESSORS,,
880,Intestate succession,"In the absence of valid testamentary disposition, the undisposed
property of the deceased devolves by operation of law in favor of his
descendants, ascendants, and collaterals, by blood or by adoption, and in favor
of his spouse not judicially separated from him, in the order provided in and
according to the following articles.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,2 - OF INTESTATE SUCCESSION,,
881,Representation: effect,"Representation is a fiction of the law, the effect of which is to put the representative in the place, degree, and rights of the person represented.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,2 - OF INTESTATE SUCCESSION,,
882,Representation in direct line of descendants,"Representation takes place ad infinitum in the direct line of descendants.  It is permitted in all cases, whether the children of the deceased concur with the descendants of the predeceased child, or whether, all the children having died before him, the descendants of the children be in equal or unequal degrees of relationship to the deceased.  For purposes of forced heirship, representation takes place only as provided in Article 1493.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,2 - OF INTESTATE SUCCESSION,,
883,Representation of ascendants not permissible,"Representation does not take place in favor of the ascendants, the
nearest relation in any degree always excluding those of a more remote degree.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,2 - OF INTESTATE SUCCESSION,,
884,Representation in collateral line,"In the collateral line, representation is permitted in favor of the children
and descendants of the brothers and sisters of the deceased, whether they
succeed in concurrence with their uncles and aunts, or whether, the brothers
and sisters of the deceased having died, their descendants succeed in equal or
unequal degrees.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,2 - OF INTESTATE SUCCESSION,,
885,Basis of partition in cases of representation,"In all cases in which representation is permitted, the partition is made
by roots; if one root has produced several branches, the subdivision is also
made by roots in each branch, and the members of the same branch take by
heads.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,2 - OF INTESTATE SUCCESSION,,
886,Representation of deceased persons only,"Only deceased persons may be represented.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,2 - OF INTESTATE SUCCESSION,,
887,Representation of decedent whose succession was renounced,"One who has renounced his right to succeed to another may still enjoy
the right of representation with respect to that other.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,2 - OF INTESTATE SUCCESSION,,
888,Succession rights of descendants,"Descendants succeed to the property of their ascendants.  They take in
equal portions and by heads if they are in the same degree.  They take by roots
if all or some of them succeed by representation.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,2 - OF INTESTATE SUCCESSION,,
889,Devolution of community property,"If the deceased leaves no descendants, his surviving spouse succeeds
to his share of the community property.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,2 - OF INTESTATE SUCCESSION,,
890,Usufruct of surviving spouse,"If the deceased spouse is survived by descendants, the surviving spouse shall have a usufruct over the decedent's share of the community property to the extent that the decedent has not disposed of it by testament.  This usufruct terminates when the surviving spouse dies or remarries, whichever occurs first.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,2 - OF INTESTATE SUCCESSION,,
891,Devolution of separate property; parents and brothers and sisters,"If the deceased leaves no descendants but is survived by a father, mother, or both, and by a brother or sister, or both, or descendants from them, the brothers and sisters or their descendants succeed to the separate property of the deceased subject to a usufruct in favor of the surviving parent or parents.  If both parents survive the deceased, the usufruct shall be joint and successive.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,2 - OF INTESTATE SUCCESSION,,
892,Devolution of separate property in absence of parents or in absence,"of brothers and sisters
           If the deceased leaves neither descendants nor parents, his brothers or
sisters or descendants from them succeed to his separate property in full
ownership to the exclusion of other ascendants and other collaterals.
           If the deceased leaves neither descendants nor brothers or sisters, nor
descendants from them, his parent or parents succeed to the separate property
to the exclusion of other ascendants and other collaterals.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,2 - OF INTESTATE SUCCESSION,,
893,Brothers and sisters related by half-blood,"The property that devolves to the brothers or sisters is divided among
them equally, if they are all born of the same parents.  If they are born of
different unions, it is equally divided between the paternal and maternal lines
of the deceased: brothers or sisters fully related by blood take in both lines and
those related by half-blood take each in his own line.  If there are brothers or
sisters on one side only, they take the entirety to the exclusion of all relations
in the other line.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,2 - OF INTESTATE SUCCESSION,,
894,Separate property; rights of surviving spouse,"If the deceased leaves neither descendants, nor parents, nor brothers,
sisters, or descendants from them, his spouse not judicially separated from him
shall succeed to his separate property to the exclusion of other ascendants and
other collaterals.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,2 - OF INTESTATE SUCCESSION,,
895,Separate property; rights of other ascendants,"If a deceased leaves neither descendants, nor brothers, sisters, or descendants from them, nor parents, nor spouse not judicially separated, his other ascendants succeed to his separate property.  If the ascendants in the paternal and maternal lines are in the same degree, the property is divided into two equal shares, one of which goes to the ascendants on the paternal side, and the other to the ascendants on the maternal side, whether the number of ascendants on each side be equal or not.  In this case, the ascendants in each line inherit by heads.
If there is in the nearest degree but one ascendant in the two lines, such ascendant excludes ascendants of a more remote degree.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,2 - OF INTESTATE SUCCESSION,,
896,Separate property; rights of other collaterals,"If the deceased leaves neither descendants, nor brothers, sisters, or
descendants from them, nor parents, nor spouse not judicially separated, nor
other ascendants, his other collaterals succeed to his separate property.  Among
the collateral relations, the nearest in degree excludes all the others.  If there
are several in the same degree, they take equally and by heads.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,2 - OF INTESTATE SUCCESSION,,
899,Nearest in degree among more remote relations,"Among the successors in each class the nearest relation to the deceased,
according to the following articles, is called to succeed.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,2 - OF INTESTATE SUCCESSION,,
900,Degrees of relationship,"The propinquity of consanguinity is established by the number of
generations, and each generation is called a degree.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,2 - OF INTESTATE SUCCESSION,,
901,Direct and collateral relationship,"The series of degrees forms the line.  The direct line is the series of
degrees between persons who descend one from another.  The collateral line
is the series of degrees between persons who do not descend one from another,
but who descend from a common ancestor.
           In the direct line, the number of degrees is equal to the number of
generations between the heir and the deceased.  In the collateral line, the
number of degrees is equal to the number of generations between the heir and
the common ancestor, plus the number of generations between the common
ancestor and the deceased.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,2 - OF INTESTATE SUCCESSION,,
902,Rights of the state,"In default of blood, adopted relations, or a spouse not judicially
separated, the estate of the deceased belongs to the state.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,3 - OF THE RIGHTS OF THE STATE,,
934,Commencement of succession,"Succession occurs at the death of a person.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,4.  COMMENCEMENT OF SUCCESSION,,
935,Acquisition of ownership; seizin,"Immediately at the death of the decedent, universal successors acquire ownership of the estate and particular successors acquire ownership of the things bequeathed to them.
Prior to the qualification of a succession representative only a universal successor may represent the decedent with respect to the heritable rights and obligations of the decedent.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,4.  COMMENCEMENT OF SUCCESSION,,
936,Continuation of the possession of decedent,"The possession of the decedent is transferred to his successors, whether testate or intestate, and if testate, whether particular, general, or universal legatees.
A universal successor continues the possession of the decedent with all its advantages and defects, and with no alteration in the nature of the possession.
A particular successor may commence a new possession for purposes of acquisitive prescription.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,4.  COMMENCEMENT OF SUCCESSION,,
937,Transmission of rights of successor,"The rights of a successor are transmitted to his own successors at his death, whether or not he accepted the rights, and whether or not he knew that the rights accrued to him.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,4.  COMMENCEMENT OF SUCCESSION,,
938,Exercise of succession rights,"A.  Prior to the qualification of a succession representative, a successor may exercise rights of ownership with respect to his interests in a thing of the estate as well as his interest in the estate as a whole.
B.  If a successor exercises his rights of ownership after the qualification of a succession representative, the effect of that exercise is subordinate to the administration of the estate.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,4.  COMMENCEMENT OF SUCCESSION,,
939,Existence of successor,"A successor must exist at the death of the decedent.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,5.  LOSS OF SUCCESSION RIGHTS,,
